Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Passive Aggressive Regressor,2.8465,13.0529,3.5403,-1.1368,0.8857,1.2114,0.537,"(3, 5, 15)"
Least Angle Regression,226.4269,607758.2503,278.0497,-115681.5992,2.3703,124.676,0.529,"(3, 5, 15)"
Extra Trees Regressor,1.2554,3.0384,1.7334,0.4461,0.5031,0.4247,0.595,"(3, 5, 16)"
Random Forest Regressor,1.3425,3.2786,1.8034,0.3986,0.5227,0.4609,0.776,"(3, 5, 16)"
Light Gradient Boosting Machine,1.373,3.57,1.8824,0.3411,0.5331,0.4778,0.574,"(3, 5, 16)"
Gradient Boosting Regressor,1.4035,3.6448,1.8994,0.332,0.5404,0.4786,0.638,"(3, 5, 16)"
Linear Regression,1.6887,4.6082,2.1434,0.1454,0.6113,0.6252,0.53,"(3, 5, 16)"
Ridge Regression,1.7135,4.6925,2.1616,0.133,0.6213,0.6439,0.529,"(3, 5, 16)"
Bayesian Ridge,1.7581,4.8179,2.192,0.1063,0.6292,0.6664,0.527,"(3, 5, 16)"
AdaBoost Regressor,1.7612,4.7191,2.1643,0.1349,0.6405,0.7165,0.586,"(3, 5, 16)"
Huber Regressor,1.7662,5.089,2.2531,0.0566,0.6267,0.6261,0.527,"(3, 5, 16)"
Decision Tree Regressor,1.7692,6.7263,2.5678,-0.2551,0.7193,0.6273,0.533,"(3, 5, 16)"
K Neighbors Regressor,1.7943,5.2408,2.2848,0.0264,0.6433,0.684,0.527,"(3, 5, 16)"
Orthogonal Matching Pursuit,1.7964,5.0028,2.2334,0.0724,0.6368,0.6922,0.528,"(3, 5, 16)"
Elastic Net,1.7989,5.0137,2.2348,0.0758,0.638,0.6985,0.528,"(3, 5, 16)"
Lasso Regression,1.8126,5.0886,2.2507,0.0648,0.6431,0.7042,0.536,"(3, 5, 16)"
Lasso Least Angle Regression,1.8126,5.0885,2.2507,0.0648,0.6431,0.7042,0.532,"(3, 5, 16)"
Dummy Regressor,1.9288,5.6623,2.3676,-0.0235,0.6792,0.7719,0.544,"(3, 5, 16)"
Passive Aggressive Regressor,2.4375,10.3704,3.1584,-0.8391,0.8718,0.8784,0.524,"(3, 5, 16)"
Least Angle Regression,23407.63,10498096714.8354,37110.0482,-2366977502.1151,4.6856,14050.7394,0.526,"(3, 5, 16)"
Extra Trees Regressor,1.4062,3.4922,1.8513,0.4733,0.5166,0.4853,0.598,"(3, 5, 17)"
Random Forest Regressor,1.5356,4.0857,2.0084,0.3811,0.5532,0.5444,0.782,"(3, 5, 17)"
Light Gradient Boosting Machine,1.542,4.1372,2.0235,0.3667,0.5452,0.5527,0.564,"(3, 5, 17)"
Gradient Boosting Regressor,1.5945,4.3938,2.0807,0.33,0.5615,0.5679,0.644,"(3, 5, 17)"
Linear Regression,1.8505,5.5953,2.3513,0.1461,0.6319,0.6867,0.522,"(3, 5, 17)"
Ridge Regression,1.9316,5.8663,2.4102,0.1066,0.6534,0.7312,0.527,"(3, 5, 17)"
Decision Tree Regressor,1.9362,7.9387,2.7927,-0.2188,0.7343,0.676,0.544,"(3, 5, 17)"
Huber Regressor,1.9903,6.4216,2.5198,0.0245,0.6652,0.6927,0.535,"(3, 5, 17)"
AdaBoost Regressor,2.0071,5.7068,2.381,0.1233,0.6865,0.8571,0.571,"(3, 5, 17)"
Bayesian Ridge,2.0189,6.1796,2.475,0.0559,0.6739,0.7771,0.531,"(3, 5, 17)"
Orthogonal Matching Pursuit,2.0324,6.2895,2.4976,0.0368,0.6756,0.7842,0.526,"(3, 5, 17)"
Elastic Net,2.036,6.2578,2.4906,0.0453,0.6767,0.7868,0.524,"(3, 5, 17)"
Lasso Regression,2.0555,6.3351,2.5054,0.0355,0.6817,0.7968,0.52,"(3, 5, 17)"
Lasso Least Angle Regression,2.0555,6.3351,2.5054,0.0355,0.6817,0.7968,0.525,"(3, 5, 17)"
K Neighbors Regressor,2.1167,7.2925,2.6832,-0.115,0.7111,0.7825,0.533,"(3, 5, 17)"
Dummy Regressor,2.1526,6.7536,2.586,-0.0236,0.708,0.852,0.523,"(3, 5, 17)"
Passive Aggressive Regressor,3.5553,22.6225,4.4869,-2.387,1.0028,1.6474,0.528,"(3, 5, 17)"
Least Angle Regression,31067.4756,13887172794.0508,44409.672,-2350478982.2876,5.3216,16318.6303,0.53,"(3, 5, 17)"
Extra Trees Regressor,1.2341,2.8955,1.6819,0.4592,0.5051,0.4365,0.608,"(3, 6, 8)"
Light Gradient Boosting Machine,1.3427,3.4172,1.8313,0.3605,0.5428,0.4834,0.574,"(3, 6, 8)"
Random Forest Regressor,1.3782,3.4019,1.8237,0.3646,0.5414,0.4996,0.785,"(3, 6, 8)"
Gradient Boosting Regressor,1.3834,3.447,1.8358,0.3593,0.5409,0.5026,0.651,"(3, 6, 8)"
Linear Regression,1.6483,4.6051,2.1277,0.1329,0.6198,0.6314,0.526,"(3, 6, 8)"
Ridge Regression,1.6918,4.712,2.1528,0.1134,0.6252,0.6461,0.526,"(3, 6, 8)"
Huber Regressor,1.747,5.1617,2.2541,0.0273,0.6348,0.6274,0.539,"(3, 6, 8)"
AdaBoost Regressor,1.7709,4.6806,2.1498,0.1154,0.662,0.7496,0.56,"(3, 6, 8)"
Bayesian Ridge,1.7734,4.988,2.2171,0.0615,0.6465,0.6925,0.541,"(3, 6, 8)"
Orthogonal Matching Pursuit,1.7783,4.978,2.2153,0.063,0.6475,0.6997,0.532,"(3, 6, 8)"
Elastic Net,1.7915,5.0518,2.231,0.0531,0.6517,0.7019,0.528,"(3, 6, 8)"
Lasso Regression,1.8115,5.1327,2.2491,0.0388,0.6584,0.7115,0.531,"(3, 6, 8)"
Lasso Least Angle Regression,1.8115,5.1327,2.2491,0.0388,0.6584,0.7115,0.525,"(3, 6, 8)"
Decision Tree Regressor,1.8392,6.832,2.5962,-0.3025,0.7483,0.7231,0.525,"(3, 6, 8)"
Dummy Regressor,1.9029,5.4551,2.3207,-0.0228,0.6818,0.7608,0.538,"(3, 6, 8)"
K Neighbors Regressor,1.9408,6.1178,2.4573,-0.1525,0.7085,0.7748,0.532,"(3, 6, 8)"
Passive Aggressive Regressor,3.5824,26.5539,4.3409,-3.6222,0.9531,1.8007,0.53,"(3, 6, 8)"
Least Angle Regression,467900.2781,6099186056425.115,803638.9602,-810530774473.3182,5.8138,180871.542,0.535,"(3, 6, 8)"
Extra Trees Regressor,1.1399,2.6015,1.6031,0.4864,0.473,0.4126,0.6,"(3, 6, 9)"
Light Gradient Boosting Machine,1.2145,2.9032,1.6927,0.4248,0.4915,0.4684,0.566,"(3, 6, 9)"
Random Forest Regressor,1.246,3.0013,1.7242,0.4076,0.5054,0.4431,0.791,"(3, 6, 9)"
Gradient Boosting Regressor,1.2545,2.9559,1.7144,0.4139,0.505,0.4667,0.635,"(3, 6, 9)"
Linear Regression,1.4805,3.876,1.9613,0.2361,0.5733,0.5959,0.529,"(3, 6, 9)"
Ridge Regression,1.5673,4.1888,2.0407,0.1736,0.5895,0.623,0.518,"(3, 6, 9)"
Huber Regressor,1.6184,4.8346,2.1887,0.0502,0.6066,0.5783,0.533,"(3, 6, 9)"
Bayesian Ridge,1.6305,4.4818,2.1095,0.1163,0.6095,0.6514,0.53,"(3, 6, 9)"
Decision Tree Regressor,1.6461,5.9713,2.4347,-0.2073,0.6934,0.6611,0.531,"(3, 6, 9)"
Elastic Net,1.6707,4.6054,2.1393,0.0925,0.6235,0.6702,0.526,"(3, 6, 9)"
Lasso Regression,1.6801,4.6725,2.1544,0.0805,0.6297,0.669,0.531,"(3, 6, 9)"
Lasso Least Angle Regression,1.6801,4.6725,2.1544,0.0805,0.6297,0.669,0.531,"(3, 6, 9)"
Orthogonal Matching Pursuit,1.691,4.6988,2.1621,0.0712,0.6294,0.6876,0.515,"(3, 6, 9)"
AdaBoost Regressor,1.7409,4.4066,2.0962,0.1208,0.6575,0.7719,0.568,"(3, 6, 9)"
K Neighbors Regressor,1.7751,5.4121,2.3186,-0.066,0.669,0.7098,0.526,"(3, 6, 9)"
Dummy Regressor,1.8349,5.1688,2.2679,-0.019,0.6696,0.7563,0.527,"(3, 6, 9)"
Passive Aggressive Regressor,2.6196,12.1759,3.3153,-1.4652,0.8571,1.2863,0.535,"(3, 6, 9)"
Least Angle Regression,102299.4189,118068980856.5625,165417.9117,-26155041933.2504,7.2842,55493.1849,0.537,"(3, 6, 9)"
Extra Trees Regressor,1.3247,3.1579,1.773,0.5059,0.5196,0.4536,0.6,"(3, 6, 10)"
Light Gradient Boosting Machine,1.4311,3.7198,1.9227,0.4182,0.5497,0.5187,0.557,"(3, 6, 10)"
Random Forest Regressor,1.4725,3.8362,1.9519,0.4015,0.5574,0.517,0.78,"(3, 6, 10)"
Gradient Boosting Regressor,1.5381,4.184,2.0416,0.3419,0.5684,0.562,0.643,"(3, 6, 10)"
Linear Regression,1.7974,5.4404,2.3241,0.1452,0.6465,0.678,0.527,"(3, 6, 10)"
Ridge Regression,1.8331,5.3279,2.2994,0.1648,0.6476,0.7017,0.543,"(3, 6, 10)"
Bayesian Ridge,1.872,5.4375,2.3241,0.1485,0.6555,0.7228,0.531,"(3, 6, 10)"
Decision Tree Regressor,1.8726,7.6027,2.7508,-0.2167,0.7409,0.7573,0.523,"(3, 6, 10)"
AdaBoost Regressor,1.9182,5.2395,2.2835,0.1804,0.6864,0.7769,0.57,"(3, 6, 10)"
Huber Regressor,1.9356,5.982,2.4359,0.0732,0.665,0.6884,0.528,"(3, 6, 10)"
Orthogonal Matching Pursuit,1.9961,5.9626,2.4353,0.0717,0.6863,0.783,0.53,"(3, 6, 10)"
Elastic Net,2.008,5.9588,2.4336,0.0748,0.6899,0.777,0.523,"(3, 6, 10)"
Lasso Regression,2.0294,6.0366,2.4487,0.0644,0.6977,0.7802,0.527,"(3, 6, 10)"
Lasso Least Angle Regression,2.0294,6.0365,2.4487,0.0644,0.6977,0.7802,0.528,"(3, 6, 10)"
K Neighbors Regressor,2.1498,7.2768,2.6926,-0.143,0.7579,0.834,0.524,"(3, 6, 10)"
Dummy Regressor,2.1583,6.602,2.561,-0.023,0.7368,0.8534,0.521,"(3, 6, 10)"
Passive Aggressive Regressor,2.5062,10.4754,3.2231,-0.6624,0.8526,0.8326,0.536,"(3, 6, 10)"
Least Angle Regression,145024.6836,325993177089.0452,184936.9845,-43341138903.6164,5.8965,91507.6941,0.54,"(3, 6, 10)"
Extra Trees Regressor,1.2099,2.8349,1.6794,0.482,0.4989,0.4537,0.616,"(3, 6, 12)"
Light Gradient Boosting Machine,1.2883,3.2418,1.7969,0.4102,0.5167,0.5091,0.565,"(3, 6, 12)"
Random Forest Regressor,1.3422,3.3237,1.8191,0.3958,0.5324,0.5144,0.8,"(3, 6, 12)"
Gradient Boosting Regressor,1.3513,3.4192,1.8441,0.3789,0.5333,0.516,0.644,"(3, 6, 12)"
Linear Regression,1.6153,4.552,2.1287,0.1727,0.6131,0.6488,0.524,"(3, 6, 12)"
Ridge Regression,1.6848,4.6395,2.1459,0.1656,0.6171,0.6989,0.528,"(3, 6, 12)"
Bayesian Ridge,1.7057,4.718,2.163,0.1529,0.6207,0.7087,0.526,"(3, 6, 12)"
Decision Tree Regressor,1.7397,6.5339,2.5507,-0.2159,0.6987,0.7361,0.53,"(3, 6, 12)"
AdaBoost Regressor,1.7406,4.4673,2.1097,0.1806,0.6618,0.7906,0.571,"(3, 6, 12)"
Huber Regressor,1.7422,5.3955,2.3049,0.0436,0.6255,0.6323,0.533,"(3, 6, 12)"
Orthogonal Matching Pursuit,1.8103,5.1896,2.2685,0.0689,0.6513,0.7579,0.528,"(3, 6, 12)"
Elastic Net,1.82,5.2427,2.2785,0.0623,0.6561,0.7461,0.527,"(3, 6, 12)"
Lasso Regression,1.8334,5.3118,2.2928,0.0512,0.6632,0.7472,0.538,"(3, 6, 12)"
Lasso Least Angle Regression,1.8334,5.3118,2.2928,0.0512,0.6632,0.7472,0.525,"(3, 6, 12)"
K Neighbors Regressor,1.9181,6.1966,2.4791,-0.115,0.7088,0.7738,0.545,"(3, 6, 12)"
Dummy Regressor,1.9546,5.753,2.3881,-0.0292,0.6977,0.8137,0.523,"(3, 6, 12)"
Passive Aggressive Regressor,3.4112,25.4242,4.2195,-4.3043,0.9777,1.7199,0.534,"(3, 6, 12)"
Least Angle Regression,152928.8393,199307259001.282,215062.1111,-44264201602.2998,7.9285,88049.6724,0.53,"(3, 6, 12)"
Extra Trees Regressor,1.1937,2.5749,1.5922,0.5093,0.494,0.4543,0.602,"(3, 6, 13)"
Light Gradient Boosting Machine,1.3036,3.0342,1.7258,0.4226,0.5228,0.5257,0.564,"(3, 6, 13)"
Random Forest Regressor,1.3227,3.1257,1.7563,0.4026,0.5312,0.5059,0.81,"(3, 6, 13)"
Gradient Boosting Regressor,1.3437,3.2488,1.7869,0.38,0.5433,0.5052,0.647,"(3, 6, 13)"
Linear Regression,1.5556,4.1204,2.02,0.2038,0.6096,0.6093,0.528,"(3, 6, 13)"
Ridge Regression,1.6175,4.2949,2.0624,0.1736,0.612,0.6356,0.536,"(3, 6, 13)"
Bayesian Ridge,1.6423,4.3849,2.083,0.1579,0.6173,0.6503,0.53,"(3, 6, 13)"
AdaBoost Regressor,1.7014,4.2413,2.052,0.1805,0.652,0.7356,0.569,"(3, 6, 13)"
Decision Tree Regressor,1.7014,6.2058,2.4749,-0.2467,0.7091,0.7316,0.526,"(3, 6, 13)"
Huber Regressor,1.7343,5.0994,2.2449,0.0249,0.6335,0.643,0.53,"(3, 6, 13)"
Elastic Net,1.7754,4.8945,2.2025,0.0609,0.6547,0.7101,0.521,"(3, 6, 13)"
Orthogonal Matching Pursuit,1.7764,4.8951,2.2004,0.0635,0.6489,0.7154,0.52,"(3, 6, 13)"
Lasso Regression,1.7823,4.9627,2.2176,0.0488,0.6605,0.7068,0.53,"(3, 6, 13)"
Lasso Least Angle Regression,1.7823,4.9627,2.2176,0.0488,0.6605,0.7068,0.539,"(3, 6, 13)"
K Neighbors Regressor,1.7855,5.2677,2.2833,-0.0136,0.6687,0.723,0.527,"(3, 6, 13)"
Dummy Regressor,1.9037,5.2921,2.2926,-0.0177,0.6859,0.7803,0.527,"(3, 6, 13)"
Passive Aggressive Regressor,3.5231,18.1679,4.2293,-2.5909,1.0615,2.0544,0.526,"(3, 6, 13)"
Least Angle Regression,243.1642,508794.101,359.6046,-93922.1942,3.2897,111.9334,0.528,"(3, 6, 13)"
Extra Trees Regressor,1.1589,2.5909,1.6027,0.4876,0.4847,0.4168,0.615,"(3, 6, 15)"
Random Forest Regressor,1.2763,3.0503,1.7412,0.4014,0.5194,0.4584,0.806,"(3, 6, 15)"
Light Gradient Boosting Machine,1.2764,3.086,1.7486,0.3858,0.5219,0.481,0.558,"(3, 6, 15)"
Gradient Boosting Regressor,1.3061,3.2555,1.7986,0.3639,0.5294,0.4808,0.668,"(3, 6, 15)"
Ridge Regression,1.6059,4.4434,2.0999,0.1483,0.6029,0.6411,0.532,"(3, 6, 15)"
Linear Regression,1.6112,4.556,2.1283,0.118,0.6072,0.6431,0.536,"(3, 6, 15)"
Bayesian Ridge,1.6209,4.4904,2.1108,0.1401,0.6078,0.6465,0.535,"(3, 6, 15)"
Decision Tree Regressor,1.6727,6.2668,2.4801,-0.2103,0.7239,0.6267,0.529,"(3, 6, 15)"
AdaBoost Regressor,1.6822,4.2599,2.0606,0.1705,0.643,0.7449,0.612,"(3, 6, 15)"
Huber Regressor,1.6908,5.1285,2.249,0.0318,0.6207,0.6055,0.544,"(3, 6, 15)"
Orthogonal Matching Pursuit,1.7442,5.0219,2.2303,0.0431,0.6417,0.7012,0.525,"(3, 6, 15)"
Elastic Net,1.7618,5.0316,2.23,0.0462,0.6465,0.7104,0.527,"(3, 6, 15)"
Lasso Regression,1.7792,5.1124,2.2462,0.0339,0.6541,0.7201,0.531,"(3, 6, 15)"
Lasso Least Angle Regression,1.7792,5.1124,2.2462,0.0339,0.6541,0.7201,0.533,"(3, 6, 15)"
K Neighbors Regressor,1.8692,5.7721,2.3895,-0.1014,0.691,0.7429,0.529,"(3, 6, 15)"
Dummy Regressor,1.8888,5.4288,2.3161,-0.0273,0.6792,0.787,0.531,"(3, 6, 15)"
Passive Aggressive Regressor,2.875,14.1399,3.5359,-1.945,0.95,1.4193,0.533,"(3, 6, 15)"
Least Angle Regression,2.315773494845376e+247,inf,inf,-inf,60.988,1.4294850995419508e+247,0.529,"(3, 6, 15)"
Extra Trees Regressor,1.1307,2.3209,1.5168,0.5376,0.4785,0.4097,0.601,"(3, 6, 16)"
Random Forest Regressor,1.2481,2.7648,1.6533,0.4538,0.5089,0.4536,0.788,"(3, 6, 16)"
Light Gradient Boosting Machine,1.2552,2.7749,1.6569,0.4477,0.5092,0.4738,0.554,"(3, 6, 16)"
Gradient Boosting Regressor,1.2944,2.9266,1.7005,0.4229,0.516,0.4859,0.649,"(3, 6, 16)"
Decision Tree Regressor,1.4768,5.0188,2.2205,0.0088,0.6453,0.5868,0.53,"(3, 6, 16)"
Linear Regression,1.537,4.0067,1.9815,0.2187,0.5937,0.6166,0.529,"(3, 6, 16)"
Ridge Regression,1.583,4.1849,2.0342,0.1801,0.6003,0.641,0.527,"(3, 6, 16)"
Huber Regressor,1.6123,4.5211,2.111,0.1182,0.6009,0.5862,0.541,"(3, 6, 16)"
Bayesian Ridge,1.6483,4.3607,2.0783,0.143,0.6152,0.6615,0.53,"(3, 6, 16)"
AdaBoost Regressor,1.6593,3.962,1.9857,0.2119,0.6362,0.7256,0.576,"(3, 6, 16)"
Orthogonal Matching Pursuit,1.6673,4.4298,2.0955,0.1278,0.6208,0.677,0.527,"(3, 6, 16)"
Elastic Net,1.6804,4.5004,2.1115,0.1153,0.6256,0.6682,0.526,"(3, 6, 16)"
Lasso Regression,1.6958,4.5718,2.1281,0.1015,0.6327,0.6715,0.534,"(3, 6, 16)"
Lasso Least Angle Regression,1.6958,4.5718,2.1281,0.1015,0.6327,0.6715,0.521,"(3, 6, 16)"
K Neighbors Regressor,1.8,5.325,2.2932,-0.0447,0.6768,0.7234,0.525,"(3, 6, 16)"
Dummy Regressor,1.8591,5.1793,2.2661,-0.0188,0.6767,0.7627,0.526,"(3, 6, 16)"
Passive Aggressive Regressor,4.3342,41.6577,5.2146,-6.803,1.0646,2.255,0.523,"(3, 6, 16)"
Least Angle Regression,783.0941,3845864.7447,1051.721,-836742.0445,3.2682,409.2464,0.529,"(3, 6, 16)"
Extra Trees Regressor,1.2536,2.9389,1.7081,0.5029,0.4954,0.4302,0.598,"(3, 6, 17)"
Light Gradient Boosting Machine,1.3362,3.3643,1.8252,0.4341,0.5199,0.4881,0.57,"(3, 6, 17)"
Random Forest Regressor,1.366,3.3889,1.8326,0.4305,0.53,0.4752,0.793,"(3, 6, 17)"
Gradient Boosting Regressor,1.3995,3.5324,1.8694,0.4034,0.5342,0.5091,0.643,"(3, 6, 17)"
Linear Regression,1.6563,4.7357,2.1679,0.2023,0.6096,0.6279,0.524,"(3, 6, 17)"
Ridge Regression,1.7515,5.0078,2.2298,0.1588,0.6273,0.6829,0.522,"(3, 6, 17)"
Bayesian Ridge,1.8255,5.3,2.2938,0.1082,0.6479,0.7108,0.527,"(3, 6, 17)"
Decision Tree Regressor,1.8439,7.4895,2.7219,-0.2693,0.7431,0.6842,0.522,"(3, 6, 17)"
Huber Regressor,1.8493,5.7771,2.3919,0.0345,0.6484,0.6546,0.536,"(3, 6, 17)"
AdaBoost Regressor,1.896,5.1017,2.255,0.136,0.6866,0.826,0.57,"(3, 6, 17)"
Elastic Net,1.9022,5.5845,2.3544,0.0619,0.6697,0.7472,0.527,"(3, 6, 17)"
Orthogonal Matching Pursuit,1.9025,5.5858,2.3544,0.0606,0.6684,0.7504,0.526,"(3, 6, 17)"
Lasso Regression,1.9167,5.6589,2.3702,0.0499,0.6757,0.7484,0.513,"(3, 6, 17)"
Lasso Least Angle Regression,1.9167,5.6589,2.3702,0.0499,0.6757,0.7484,0.523,"(3, 6, 17)"
K Neighbors Regressor,1.961,6.3294,2.5075,-0.0703,0.703,0.7556,0.524,"(3, 6, 17)"
Dummy Regressor,2.0235,6.0257,2.4474,-0.0128,0.7019,0.8212,0.525,"(3, 6, 17)"
Passive Aggressive Regressor,3.5143,21.9505,4.4294,-2.7382,0.9956,1.7148,0.527,"(3, 6, 17)"
Least Angle Regression,19296.4633,3597000757.0937,25961.3408,-563205770.7837,5.7698,10492.4903,0.5,"(3, 6, 17)"
Extra Trees Regressor,1.3037,3.2249,1.7796,0.466,0.5074,0.4518,0.596,"(3, 8, 9)"
Light Gradient Boosting Machine,1.4441,3.8362,1.9467,0.359,0.5429,0.5271,0.547,"(3, 8, 9)"
Random Forest Regressor,1.4743,3.9404,1.9688,0.3519,0.5478,0.5161,0.787,"(3, 8, 9)"
Gradient Boosting Regressor,1.5406,4.286,2.0513,0.2909,0.5616,0.5419,0.647,"(3, 8, 9)"
Linear Regression,1.6867,4.8583,2.192,0.1969,0.6039,0.6509,0.527,"(3, 8, 9)"
Ridge Regression,1.8017,5.2867,2.2907,0.1255,0.629,0.6725,0.526,"(3, 8, 9)"
Huber Regressor,1.8152,5.6738,2.3706,0.0637,0.6337,0.6193,0.531,"(3, 8, 9)"
Orthogonal Matching Pursuit,1.881,5.5488,2.3478,0.0804,0.6537,0.725,0.537,"(3, 8, 9)"
Bayesian Ridge,1.8843,5.5603,2.3499,0.0793,0.6529,0.7242,0.535,"(3, 8, 9)"
Decision Tree Regressor,1.9009,7.5437,2.7261,-0.2832,0.7343,0.7097,0.536,"(3, 8, 9)"
Elastic Net,1.903,5.6211,2.3621,0.0705,0.6569,0.7363,0.52,"(3, 8, 9)"
AdaBoost Regressor,1.9084,5.2498,2.2847,0.1261,0.6727,0.8184,0.577,"(3, 8, 9)"
Lasso Regression,1.9158,5.69,2.376,0.0604,0.6623,0.7425,0.529,"(3, 8, 9)"
Lasso Least Angle Regression,1.9158,5.69,2.376,0.0604,0.6623,0.7425,0.527,"(3, 8, 9)"
Dummy Regressor,2.0249,6.1787,2.4775,-0.0208,0.6937,0.817,0.522,"(3, 8, 9)"
K Neighbors Regressor,2.0608,6.8033,2.5919,-0.118,0.7063,0.834,0.524,"(3, 8, 9)"
Passive Aggressive Regressor,2.2361,8.9307,2.9718,-0.4698,0.7775,0.6692,0.527,"(3, 8, 9)"
Least Angle Regression,98909.3561,492843224467.8379,228522.4554,-71243677322.6992,6.3969,61940.5898,0.541,"(3, 8, 9)"
Extra Trees Regressor,1.4808,3.8654,1.9585,0.418,0.5531,0.5022,0.623,"(3, 8, 10)"
Light Gradient Boosting Machine,1.5991,4.5024,2.1131,0.3203,0.5819,0.5777,0.563,"(3, 8, 10)"
Random Forest Regressor,1.6217,4.4618,2.1027,0.3317,0.5873,0.5566,0.781,"(3, 8, 10)"
Gradient Boosting Regressor,1.6348,4.6164,2.1348,0.3115,0.5916,0.5636,0.641,"(3, 8, 10)"
Ridge Regression,1.8529,5.529,2.341,0.1685,0.6479,0.665,0.532,"(3, 8, 10)"
Linear Regression,1.878,5.8082,2.3996,0.1236,0.6546,0.6816,0.524,"(3, 8, 10)"
Bayesian Ridge,1.8891,5.659,2.3665,0.1514,0.6588,0.6754,0.528,"(3, 8, 10)"
Huber Regressor,1.9335,6.2219,2.4768,0.0716,0.6674,0.648,0.536,"(3, 8, 10)"
Orthogonal Matching Pursuit,1.9992,6.181,2.4753,0.073,0.6916,0.7285,0.533,"(3, 8, 10)"
Elastic Net,2.0176,6.2537,2.4902,0.062,0.6984,0.7342,0.525,"(3, 8, 10)"
AdaBoost Regressor,2.0391,5.9281,2.4289,0.1024,0.7205,0.8161,0.577,"(3, 8, 10)"
Lasso Regression,2.0419,6.3299,2.506,0.0506,0.7062,0.7432,0.53,"(3, 8, 10)"
Lasso Least Angle Regression,2.0419,6.3299,2.506,0.0506,0.7062,0.7432,0.529,"(3, 8, 10)"
Decision Tree Regressor,2.1038,9.1075,3.0069,-0.392,0.7962,0.7962,0.53,"(3, 8, 10)"
K Neighbors Regressor,2.1467,7.3454,2.6997,-0.1043,0.745,0.7641,0.531,"(3, 8, 10)"
Dummy Regressor,2.1566,6.8328,2.6043,-0.0238,0.736,0.8064,0.53,"(3, 8, 10)"
Passive Aggressive Regressor,3.7475,24.1259,4.6508,-2.7781,1.0324,1.7826,0.528,"(3, 8, 10)"
Least Angle Regression,18060.427,2950068757.9113,25027.7993,-415587852.9805,5.0969,7762.9524,0.53,"(3, 8, 10)"
Extra Trees Regressor,1.4269,3.6844,1.9155,0.4573,0.5454,0.5075,0.613,"(3, 8, 12)"
Light Gradient Boosting Machine,1.567,4.2458,2.0544,0.3731,0.5753,0.5794,0.564,"(3, 8, 12)"
Random Forest Regressor,1.585,4.3128,2.0724,0.3643,0.5807,0.5695,0.79,"(3, 8, 12)"
Gradient Boosting Regressor,1.601,4.4674,2.1056,0.3432,0.5838,0.5654,0.647,"(3, 8, 12)"
Ridge Regression,1.895,5.8216,2.4097,0.138,0.6592,0.7053,0.519,"(3, 8, 12)"
Linear Regression,1.9027,6.0457,2.4552,0.1053,0.6698,0.7161,0.526,"(3, 8, 12)"
Huber Regressor,1.9227,6.3587,2.5163,0.0609,0.6657,0.6281,0.538,"(3, 8, 12)"
AdaBoost Regressor,1.9612,5.6158,2.3681,0.1689,0.704,0.8001,0.565,"(3, 8, 12)"
Decision Tree Regressor,1.9771,8.1323,2.8387,-0.1961,0.7533,0.723,0.529,"(3, 8, 12)"
Bayesian Ridge,1.9853,6.1067,2.4677,0.096,0.6846,0.7321,0.535,"(3, 8, 12)"
Orthogonal Matching Pursuit,2.0134,6.2663,2.4996,0.073,0.6941,0.7448,0.515,"(3, 8, 12)"
Elastic Net,2.0338,6.359,2.5182,0.0601,0.6983,0.754,0.526,"(3, 8, 12)"
Lasso Regression,2.0507,6.4194,2.5303,0.0521,0.7044,0.7624,0.53,"(3, 8, 12)"
Lasso Least Angle Regression,2.0507,6.4194,2.5303,0.0521,0.7044,0.7624,0.529,"(3, 8, 12)"
Dummy Regressor,2.132,6.8847,2.6208,-0.015,0.732,0.8213,0.526,"(3, 8, 12)"
K Neighbors Regressor,2.1756,7.4864,2.7293,-0.1025,0.7375,0.8218,0.537,"(3, 8, 12)"
Passive Aggressive Regressor,2.8323,14.004,3.5903,-1.0771,0.9246,1.0415,0.528,"(3, 8, 12)"
Least Angle Regression,2694.0707,98256285.146,3467.2656,-12964583.2021,3.4076,1431.026,0.532,"(3, 8, 12)"
Extra Trees Regressor,1.3609,3.3151,1.8045,0.4301,0.5505,0.4687,0.602,"(3, 8, 13)"
Light Gradient Boosting Machine,1.449,3.8207,1.9381,0.3418,0.5755,0.5092,0.569,"(3, 8, 13)"
Random Forest Regressor,1.4593,3.7409,1.9198,0.3536,0.583,0.5096,0.799,"(3, 8, 13)"
Gradient Boosting Regressor,1.4848,3.9121,1.9619,0.3273,0.5876,0.5151,0.65,"(3, 8, 13)"
Ridge Regression,1.7384,4.876,2.1951,0.1536,0.6474,0.6303,0.53,"(3, 8, 13)"
Linear Regression,1.7443,4.8901,2.1998,0.1488,0.6471,0.6528,0.531,"(3, 8, 13)"
Huber Regressor,1.7714,5.2904,2.2868,0.0808,0.6532,0.5961,0.531,"(3, 8, 13)"
Bayesian Ridge,1.7886,5.0627,2.2344,0.1247,0.6628,0.6561,0.539,"(3, 8, 13)"
Orthogonal Matching Pursuit,1.8258,5.1977,2.2652,0.0981,0.6731,0.6801,0.528,"(3, 8, 13)"
Elastic Net,1.8454,5.2787,2.2828,0.0866,0.678,0.6853,0.524,"(3, 8, 13)"
Lasso Regression,1.868,5.3553,2.3002,0.0727,0.6861,0.6929,0.532,"(3, 8, 13)"
