Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Huber Regressor,3.6087,17.5323,4.1848,-0.0271,0.3337,0.3471,0.543,"('subject_10', 'subject_3', 'subject_6')"
Extra Trees Regressor,3.6274,17.9789,4.2341,-0.0537,0.3257,0.3301,0.515,"('subject_10', 'subject_3', 'subject_6')"
K Neighbors Regressor,3.7636,19.5728,4.4188,-0.145,0.3467,0.358,0.548,"('subject_10', 'subject_3', 'subject_6')"
Passive Aggressive Regressor,4.2693,28.0359,5.205,-0.624,0.4053,0.4559,0.563,"('subject_10', 'subject_3', 'subject_6')"
Decision Tree Regressor,4.3875,29.9929,5.4621,-0.763,0.4181,0.3819,0.529,"('subject_10', 'subject_3', 'subject_6')"
Random Forest Regressor,3.4444,16.2645,4.0295,0.058,0.3075,0.3081,0.643,"('subject_10', 'subject_3', 'subject_7')"
Gradient Boosting Regressor,3.471,16.3163,4.0357,0.0555,0.3113,0.3154,0.553,"('subject_10', 'subject_3', 'subject_7')"
Light Gradient Boosting Machine,3.4881,17.4131,4.1716,-0.0105,0.3169,0.3104,0.489,"('subject_10', 'subject_3', 'subject_7')"
AdaBoost Regressor,3.4999,16.1245,4.0134,0.0655,0.3148,0.324,0.522,"('subject_10', 'subject_3', 'subject_7')"
Extra Trees Regressor,3.5569,17.4553,4.1753,-0.0113,0.319,0.3197,0.545,"('subject_10', 'subject_3', 'subject_7')"
Linear Regression,3.5911,17.3063,4.1567,-0.0015,0.328,0.3379,0.5,"('subject_10', 'subject_3', 'subject_7')"
Ridge Regression,3.5916,17.3016,4.1562,-0.0013,0.3282,0.3381,0.573,"('subject_10', 'subject_3', 'subject_7')"
Orthogonal Matching Pursuit,3.6038,17.4,4.1679,-0.0068,0.3308,0.342,0.535,"('subject_10', 'subject_3', 'subject_7')"
Elastic Net,3.6116,17.4458,4.1736,-0.0096,0.3311,0.3426,0.602,"('subject_10', 'subject_3', 'subject_7')"
Lasso Least Angle Regression,3.6149,17.4591,4.1751,-0.0102,0.3312,0.3428,0.533,"('subject_10', 'subject_3', 'subject_7')"
Lasso Regression,3.6149,17.4591,4.1751,-0.0102,0.3312,0.3428,0.47,"('subject_10', 'subject_3', 'subject_7')"
Dummy Regressor,3.623,17.5155,4.1819,-0.0135,0.3316,0.3433,0.427,"('subject_10', 'subject_3', 'subject_7')"
Bayesian Ridge,3.6231,17.5496,4.1862,-0.0157,0.332,0.3437,0.535,"('subject_10', 'subject_3', 'subject_7')"
Huber Regressor,3.6417,17.9722,4.2356,-0.0404,0.3366,0.3498,0.479,"('subject_10', 'subject_3', 'subject_7')"
K Neighbors Regressor,3.7916,20.0159,4.4698,-0.1583,0.3486,0.3578,0.455,"('subject_10', 'subject_3', 'subject_7')"
Least Angle Regression,4.2456,34.5951,5.1123,-0.9064,0.3695,0.394,0.512,"('subject_10', 'subject_3', 'subject_7')"
Passive Aggressive Regressor,4.2457,27.3883,5.097,-0.5834,0.4102,0.4239,0.455,"('subject_10', 'subject_3', 'subject_7')"
Decision Tree Regressor,4.405,30.5092,5.5173,-0.7679,0.4205,0.3829,0.465,"('subject_10', 'subject_3', 'subject_7')"
Random Forest Regressor,3.4573,16.36,4.0416,0.0561,0.3106,0.3134,0.689,"('subject_10', 'subject_3', 'subject_8')"
Gradient Boosting Regressor,3.4927,16.4288,4.0513,0.0509,0.3142,0.3194,0.526,"('subject_10', 'subject_3', 'subject_8')"
Light Gradient Boosting Machine,3.5355,17.9378,4.2305,-0.0367,0.3217,0.317,0.581,"('subject_10', 'subject_3', 'subject_8')"
AdaBoost Regressor,3.5476,16.4357,4.0497,0.0532,0.3174,0.3271,0.533,"('subject_10', 'subject_3', 'subject_8')"
Linear Regression,3.5835,17.2355,4.1478,0.0066,0.3277,0.3377,0.443,"('subject_10', 'subject_3', 'subject_8')"
Orthogonal Matching Pursuit,3.5837,17.3144,4.1573,0.0025,0.33,0.3402,0.537,"('subject_10', 'subject_3', 'subject_8')"
Ridge Regression,3.584,17.2351,4.1478,0.0066,0.3278,0.3379,0.458,"('subject_10', 'subject_3', 'subject_8')"
Least Angle Regression,3.5866,17.356,4.1614,0.0001,0.3281,0.3374,0.457,"('subject_10', 'subject_3', 'subject_8')"
Elastic Net,3.5948,17.3807,4.1654,-0.0014,0.3305,0.3411,0.453,"('subject_10', 'subject_3', 'subject_8')"
Extra Trees Regressor,3.5965,17.943,4.2337,-0.0381,0.325,0.3267,0.654,"('subject_10', 'subject_3', 'subject_8')"
Huber Regressor,3.5975,17.769,4.2113,-0.0246,0.3349,0.3466,0.508,"('subject_10', 'subject_3', 'subject_8')"
Bayesian Ridge,3.6022,17.4336,4.1718,-0.0046,0.3309,0.3417,0.528,"('subject_10', 'subject_3', 'subject_8')"
Lasso Regression,3.6024,17.3827,4.1657,-0.0016,0.3305,0.3416,0.454,"('subject_10', 'subject_3', 'subject_8')"
Lasso Least Angle Regression,3.6024,17.3827,4.1657,-0.0016,0.3305,0.3416,0.503,"('subject_10', 'subject_3', 'subject_8')"
Dummy Regressor,3.6254,17.5168,4.1819,-0.0095,0.3314,0.3432,0.502,"('subject_10', 'subject_3', 'subject_8')"
K Neighbors Regressor,3.7642,19.983,4.4666,-0.1606,0.3491,0.3588,0.513,"('subject_10', 'subject_3', 'subject_8')"
Decision Tree Regressor,4.3571,30.2109,5.4835,-0.7372,0.4184,0.3813,0.547,"('subject_10', 'subject_3', 'subject_8')"
Passive Aggressive Regressor,5.7209,47.5047,6.6262,-1.74,0.567,0.434,0.486,"('subject_10', 'subject_3', 'subject_8')"
Random Forest Regressor,3.4246,16.0941,4.0039,0.0831,0.3093,0.3124,0.705,"('subject_10', 'subject_3', 'subject_9')"
Light Gradient Boosting Machine,3.4901,17.4253,4.1644,0.0075,0.3185,0.3145,0.485,"('subject_10', 'subject_3', 'subject_9')"
Gradient Boosting Regressor,3.4945,16.4843,4.0533,0.0604,0.3153,0.3221,0.485,"('subject_10', 'subject_3', 'subject_9')"
AdaBoost Regressor,3.5266,16.4088,4.0459,0.0638,0.3196,0.3303,0.457,"('subject_10', 'subject_3', 'subject_9')"
Extra Trees Regressor,3.5758,17.523,4.18,-0.0006,0.3231,0.3272,0.599,"('subject_10', 'subject_3', 'subject_9')"
Linear Regression,3.6092,17.474,4.1758,0.0023,0.3317,0.3436,0.455,"('subject_10', 'subject_3', 'subject_9')"
Ridge Regression,3.611,17.4722,4.1756,0.0024,0.332,0.344,0.47,"('subject_10', 'subject_3', 'subject_9')"
Orthogonal Matching Pursuit,3.6244,17.5952,4.1906,-0.0043,0.3348,0.3479,0.568,"('subject_10', 'subject_3', 'subject_9')"
Elastic Net,3.6333,17.6286,4.1945,-0.0061,0.335,0.3486,0.476,"('subject_10', 'subject_3', 'subject_9')"
Lasso Least Angle Regression,3.6384,17.654,4.1976,-0.0075,0.3352,0.3489,0.532,"('subject_10', 'subject_3', 'subject_9')"
Lasso Regression,3.6384,17.654,4.1976,-0.0075,0.3352,0.3489,0.491,"('subject_10', 'subject_3', 'subject_9')"
Dummy Regressor,3.6468,17.7298,4.2066,-0.0118,0.3357,0.3495,0.458,"('subject_10', 'subject_3', 'subject_9')"
Bayesian Ridge,3.6485,17.7727,4.2115,-0.0142,0.3361,0.3498,0.534,"('subject_10', 'subject_3', 'subject_9')"
Least Angle Regression,3.6859,18.7105,4.3103,-0.0723,0.3416,0.3495,0.517,"('subject_10', 'subject_3', 'subject_9')"
Huber Regressor,3.6876,18.2534,4.269,-0.043,0.3414,0.357,0.513,"('subject_10', 'subject_3', 'subject_9')"
K Neighbors Regressor,3.7775,20.0331,4.4683,-0.1423,0.3515,0.3609,0.532,"('subject_10', 'subject_3', 'subject_9')"
Decision Tree Regressor,4.1639,27.7891,5.2627,-0.5907,0.4043,0.3688,0.552,"('subject_10', 'subject_3', 'subject_9')"
Passive Aggressive Regressor,5.4796,43.7363,6.5194,-1.4745,0.5255,0.4295,0.549,"('subject_10', 'subject_3', 'subject_9')"
Random Forest Regressor,3.4167,16.3741,4.0441,0.0751,0.3127,0.3122,0.565,"('subject_10', 'subject_33', 'subject_5')"
Gradient Boosting Regressor,3.4547,16.4801,4.056,0.0701,0.3164,0.3196,0.58,"('subject_10', 'subject_33', 'subject_5')"
Light Gradient Boosting Machine,3.4574,17.8721,4.2211,-0.01,0.3252,0.3151,0.561,"('subject_10', 'subject_33', 'subject_5')"
AdaBoost Regressor,3.5337,16.5917,4.0718,0.0649,0.3211,0.3303,0.549,"('subject_10', 'subject_33', 'subject_5')"
Extra Trees Regressor,3.5494,17.563,4.1857,0.0088,0.3223,0.3233,0.548,"('subject_10', 'subject_33', 'subject_5')"
Linear Regression,3.6008,17.5052,4.1812,0.0138,0.3323,0.3432,0.507,"('subject_10', 'subject_33', 'subject_5')"
Ridge Regression,3.6021,17.5024,4.1809,0.014,0.3324,0.3435,0.479,"('subject_10', 'subject_33', 'subject_5')"
Least Angle Regression,3.6041,17.6052,4.1932,0.0082,0.3332,0.3438,0.509,"('subject_10', 'subject_33', 'subject_5')"
Orthogonal Matching Pursuit,3.6122,17.6718,4.2012,0.0051,0.3354,0.3471,0.493,"('subject_10', 'subject_33', 'subject_5')"
Elastic Net,3.6245,17.6826,4.2029,0.0044,0.3354,0.3478,0.489,"('subject_10', 'subject_33', 'subject_5')"
Huber Regressor,3.6261,18.0329,4.2431,-0.0153,0.3403,0.3543,0.452,"('subject_10', 'subject_33', 'subject_5')"
Lasso Regression,3.6347,17.7216,4.2078,0.0021,0.3357,0.3485,0.458,"('subject_10', 'subject_33', 'subject_5')"
Lasso Least Angle Regression,3.6347,17.7216,4.2078,0.0021,0.3357,0.3485,0.509,"('subject_10', 'subject_33', 'subject_5')"
Bayesian Ridge,3.6375,17.7732,4.2136,-0.0007,0.3361,0.3487,0.422,"('subject_10', 'subject_33', 'subject_5')"
Dummy Regressor,3.6561,17.8593,4.2246,-0.006,0.3366,0.3497,0.535,"('subject_10', 'subject_33', 'subject_5')"
K Neighbors Regressor,3.8342,20.469,4.5226,-0.1572,0.3552,0.365,0.461,"('subject_10', 'subject_33', 'subject_5')"
Decision Tree Regressor,4.2082,28.8035,5.357,-0.6268,0.4129,0.3701,0.438,"('subject_10', 'subject_33', 'subject_5')"
Passive Aggressive Regressor,4.2463,26.6181,5.1368,-0.4953,0.3968,0.3932,0.469,"('subject_10', 'subject_33', 'subject_5')"
Random Forest Regressor,3.4821,16.5296,4.0604,0.079,0.3153,0.321,0.69,"('subject_10', 'subject_33', 'subject_6')"
Gradient Boosting Regressor,3.4953,16.4917,4.0526,0.0835,0.3167,0.3242,0.486,"('subject_10', 'subject_33', 'subject_6')"
Light Gradient Boosting Machine,3.5412,17.7743,4.2093,0.009,0.3242,0.3232,0.518,"('subject_10', 'subject_33', 'subject_6')"
Extra Trees Regressor,3.6115,18.1691,4.2556,-0.0126,0.3298,0.3349,0.641,"('subject_10', 'subject_33', 'subject_6')"
AdaBoost Regressor,3.6241,17.1222,4.1322,0.0477,0.3262,0.3403,0.6,"('subject_10', 'subject_33', 'subject_6')"
Linear Regression,3.674,17.8639,4.217,0.0103,0.3348,0.3507,0.462,"('subject_10', 'subject_33', 'subject_6')"
Ridge Regression,3.6749,17.8616,4.2167,0.0104,0.3349,0.351,0.459,"('subject_10', 'subject_33', 'subject_6')"
Orthogonal Matching Pursuit,3.693,18.1165,4.2484,-0.0045,0.3395,0.3561,0.512,"('subject_10', 'subject_33', 'subject_6')"
Elastic Net,3.7052,18.1561,4.2533,-0.0069,0.3398,0.357,0.451,"('subject_10', 'subject_33', 'subject_6')"
Bayesian Ridge,3.7062,18.1734,4.2554,-0.0079,0.3398,0.357,0.49,"('subject_10', 'subject_33', 'subject_6')"
Lasso Regression,3.7099,18.1776,4.2561,-0.0084,0.3399,0.3573,0.437,"('subject_10', 'subject_33', 'subject_6')"
Lasso Least Angle Regression,3.7099,18.1776,4.2561,-0.0084,0.3399,0.3573,0.519,"('subject_10', 'subject_33', 'subject_6')"
Huber Regressor,3.7108,18.4698,4.287,-0.0221,0.3429,0.3612,0.556,"('subject_10', 'subject_33', 'subject_6')"
K Neighbors Regressor,3.7168,19.5546,4.4143,-0.0882,0.3508,0.3619,0.528,"('subject_10', 'subject_33', 'subject_6')"
Dummy Regressor,3.7237,18.2931,4.27,-0.0152,0.3407,0.3583,0.457,"('subject_10', 'subject_33', 'subject_6')"
Least Angle Regression,3.9144,21.8939,4.5833,-0.2556,0.3636,0.3759,0.479,"('subject_10', 'subject_33', 'subject_6')"
Decision Tree Regressor,4.4714,31.5464,5.6088,-0.7606,0.4335,0.3951,0.569,"('subject_10', 'subject_33', 'subject_6')"
Passive Aggressive Regressor,4.7056,32.6105,5.5999,-0.8185,0.4314,0.3953,0.504,"('subject_10', 'subject_33', 'subject_6')"
Light Gradient Boosting Machine,3.4775,17.4676,4.1752,0.0306,0.3194,0.3133,0.486,"('subject_10', 'subject_33', 'subject_7')"
Random Forest Regressor,3.4916,16.8479,4.0999,0.0649,0.3161,0.3174,0.557,"('subject_10', 'subject_33', 'subject_7')"
Gradient Boosting Regressor,3.5121,16.7073,4.0846,0.0727,0.3178,0.3237,0.525,"('subject_10', 'subject_33', 'subject_7')"
Extra Trees Regressor,3.5474,17.5493,4.1849,0.0258,0.3225,0.3236,0.578,"('subject_10', 'subject_33', 'subject_7')"
AdaBoost Regressor,3.5719,16.9272,4.1132,0.0612,0.3249,0.3352,0.486,"('subject_10', 'subject_33', 'subject_7')"
Linear Regression,3.6163,17.691,4.2054,0.0184,0.3341,0.3449,0.467,"('subject_10', 'subject_33', 'subject_7')"
Ridge Regression,3.6187,17.6902,4.2053,0.0184,0.3343,0.3453,0.457,"('subject_10', 'subject_33', 'subject_7')"
Orthogonal Matching Pursuit,3.6482,17.9564,4.2368,0.0042,0.3387,0.3511,0.578,"('subject_10', 'subject_33', 'subject_7')"
Elastic Net,3.6644,18.0164,4.2439,0.0009,0.339,0.3522,0.461,"('subject_10', 'subject_33', 'subject_7')"
Lasso Least Angle Regression,3.6686,18.0238,4.2446,0.0007,0.339,0.3525,0.537,"('subject_10', 'subject_33', 'subject_7')"
Lasso Regression,3.6686,18.0238,4.2446,0.0007,0.339,0.3525,0.484,"('subject_10', 'subject_33', 'subject_7')"
Bayesian Ridge,3.6748,18.0781,4.2512,-0.0026,0.3394,0.3529,0.475,"('subject_10', 'subject_33', 'subject_7')"
Huber Regressor,3.6794,18.3428,4.2823,-0.0178,0.343,0.3577,0.549,"('subject_10', 'subject_33', 'subject_7')"
Dummy Regressor,3.683,18.1498,4.2593,-0.0061,0.3398,0.3534,0.447,"('subject_10', 'subject_33', 'subject_7')"
Least Angle Regression,3.7332,19.3901,4.3773,-0.0718,0.3494,0.3545,0.495,"('subject_10', 'subject_33', 'subject_7')"
K Neighbors Regressor,3.7625,19.8418,4.4511,-0.0998,0.3503,0.3602,0.549,"('subject_10', 'subject_33', 'subject_7')"
Passive Aggressive Regressor,4.0108,23.6864,4.8198,-0.3063,0.3839,0.423,0.522,"('subject_10', 'subject_33', 'subject_7')"
Decision Tree Regressor,4.4866,32.3353,5.6801,-0.7962,0.4381,0.4001,0.531,"('subject_10', 'subject_33', 'subject_7')"
Random Forest Regressor,3.5263,16.9983,4.1169,0.0586,0.3176,0.3196,0.663,"('subject_10', 'subject_33', 'subject_8')"
Gradient Boosting Regressor,3.5491,17.0455,4.1226,0.0552,0.3213,0.3269,0.516,"('subject_10', 'subject_33', 'subject_8')"
Light Gradient Boosting Machine,3.5654,18.0367,4.2434,-0.0003,0.3257,0.3216,0.604,"('subject_10', 'subject_33', 'subject_8')"
AdaBoost Regressor,3.5883,16.9385,4.1127,0.0609,0.3252,0.3366,0.512,"('subject_10', 'subject_33', 'subject_8')"
Orthogonal Matching Pursuit,3.6366,17.9127,4.2293,0.007,0.3373,0.3492,0.45,"('subject_10', 'subject_33', 'subject_8')"
Linear Regression,3.6429,17.7751,4.2115,0.0151,0.3344,0.3468,0.528,"('subject_10', 'subject_33', 'subject_8')"
Ridge Regression,3.6435,17.7705,4.211,0.0154,0.3346,0.347,0.498,"('subject_10', 'subject_33', 'subject_8')"
Extra Trees Regressor,3.6464,18.333,4.2778,-0.0169,0.3296,0.3329,0.705,"('subject_10', 'subject_33', 'subject_8')"
Elastic Net,3.6534,17.999,4.2395,0.0023,0.338,0.3505,0.459,"('subject_10', 'subject_33', 'subject_8')"
Lasso Least Angle Regression,3.6582,18.0073,4.2408,0.0017,0.338,0.3508,0.465,"('subject_10', 'subject_33', 'subject_8')"
Lasso Regression,3.6582,18.0073,4.2408,0.0017,0.338,0.3508,0.543,"('subject_10', 'subject_33', 'subject_8')"
Huber Regressor,3.6616,18.319,4.2758,-0.0154,0.3421,0.3564,0.457,"('subject_10', 'subject_33', 'subject_8')"
Bayesian Ridge,3.6636,18.0671,4.2475,-0.0014,0.3385,0.3512,0.461,"('subject_10', 'subject_33', 'subject_8')"
Dummy Regressor,3.671,18.0987,4.2518,-0.0036,0.3387,0.3516,0.511,"('subject_10', 'subject_33', 'subject_8')"
Least Angle Regression,3.7353,19.4076,4.3865,-0.0774,0.3551,0.3565,0.449,"('subject_10', 'subject_33', 'subject_8')"
K Neighbors Regressor,3.8296,20.5258,4.5268,-0.1379,0.3555,0.3664,0.528,"('subject_10', 'subject_33', 'subject_8')"
Passive Aggressive Regressor,4.1546,25.7703,5.027,-0.4179,0.3933,0.4238,0.483,"('subject_10', 'subject_33', 'subject_8')"
Decision Tree Regressor,4.5479,32.3815,5.6817,-0.7981,0.4352,0.4002,0.455,"('subject_10', 'subject_33', 'subject_8')"
Random Forest Regressor,3.4712,16.3914,4.0452,0.071,0.3141,0.3182,0.666,"('subject_10', 'subject_33', 'subject_9')"
Gradient Boosting Regressor,3.5693,17.0383,4.1244,0.0352,0.3218,0.33,0.532,"('subject_10', 'subject_33', 'subject_9')"
AdaBoost Regressor,3.5697,16.645,4.0772,0.0585,0.3233,0.3358,0.479,"('subject_10', 'subject_33', 'subject_9')"
Light Gradient Boosting Machine,3.5862,18.3759,4.2794,-0.0408,0.3279,0.3238,0.474,"('subject_10', 'subject_33', 'subject_9')"
Extra Trees Regressor,3.617,18.0669,4.2477,-0.0237,0.3277,0.3302,0.544,"('subject_10', 'subject_33', 'subject_9')"
Least Angle Regression,3.6345,17.6211,4.1942,0.0047,0.3331,0.3459,0.509,"('subject_10', 'subject_33', 'subject_9')"
Linear Regression,3.6358,17.6266,4.1948,0.0044,0.3332,0.3462,0.445,"('subject_10', 'subject_33', 'subject_9')"
Ridge Regression,3.6371,17.6234,4.1944,0.0046,0.3334,0.3465,0.478,"('subject_10', 'subject_33', 'subject_9')"
Orthogonal Matching Pursuit,3.6538,17.7815,4.2138,-0.0048,0.3372,0.3516,0.524,"('subject_10', 'subject_33', 'subject_9')"
Elastic Net,3.6632,17.8304,4.2198,-0.0077,0.3375,0.3522,0.522,"('subject_10', 'subject_33', 'subject_9')"
Lasso Regression,3.6658,17.8574,4.2231,-0.0093,0.3377,0.3523,0.484,"('subject_10', 'subject_33', 'subject_9')"
Lasso Least Angle Regression,3.6658,17.8574,4.2231,-0.0093,0.3377,0.3523,0.503,"('subject_10', 'subject_33', 'subject_9')"
Dummy Regressor,3.6681,17.8756,4.2253,-0.0103,0.3377,0.3524,0.445,"('subject_10', 'subject_33', 'subject_9')"
Bayesian Ridge,3.6749,17.9428,4.2331,-0.014,0.3383,0.3531,0.566,"('subject_10', 'subject_33', 'subject_9')"
Huber Regressor,3.6802,18.1741,4.2589,-0.0268,0.3408,0.3568,0.584,"('subject_10', 'subject_33', 'subject_9')"
K Neighbors Regressor,3.7971,20.0394,4.4731,-0.1338,0.3527,0.3644,0.555,"('subject_10', 'subject_33', 'subject_9')"
Decision Tree Regressor,4.4118,30.5496,5.5192,-0.7336,0.4249,0.3853,0.462,"('subject_10', 'subject_33', 'subject_9')"
Passive Aggressive Regressor,4.8997,37.0422,5.9617,-1.1188,0.4809,0.4806,0.537,"('subject_10', 'subject_33', 'subject_9')"
Random Forest Regressor,3.3533,15.4969,3.9297,0.0888,0.305,0.3068,0.567,"('subject_10', 'subject_5', 'subject_6')"
Light Gradient Boosting Machine,3.3904,16.4822,4.0509,0.0285,0.3125,0.3051,0.558,"('subject_10', 'subject_5', 'subject_6')"
Gradient Boosting Regressor,3.411,15.8512,3.9772,0.07,0.3114,0.3156,0.513,"('subject_10', 'subject_5', 'subject_6')"
Extra Trees Regressor,3.4237,16.3559,4.0399,0.0399,0.3117,0.3123,0.519,"('subject_10', 'subject_5', 'subject_6')"
AdaBoost Regressor,3.4493,16.015,3.9969,0.0639,0.3179,0.3259,0.46,"('subject_10', 'subject_5', 'subject_6')"
Linear Regression,3.4981,16.6708,4.077,0.0267,0.3253,0.3345,0.499,"('subject_10', 'subject_5', 'subject_6')"
Ridge Regression,3.4995,16.668,4.0767,0.0269,0.3255,0.3349,0.503,"('subject_10', 'subject_5', 'subject_6')"
Least Angle Regression,3.5084,16.8276,4.0964,0.0171,0.3269,0.3357,0.569,"('subject_10', 'subject_5', 'subject_6')"
Elastic Net,3.5778,17.3366,4.1578,-0.0112,0.3338,0.3461,0.522,"('subject_10', 'subject_5', 'subject_6')"
Bayesian Ridge,3.578,17.35,4.1598,-0.0122,0.3339,0.3462,0.45,"('subject_10', 'subject_5', 'subject_6')"
Lasso Regression,3.5804,17.3713,4.162,-0.0131,0.3339,0.3462,0.525,"('subject_10', 'subject_5', 'subject_6')"
Lasso Least Angle Regression,3.5804,17.3713,4.162,-0.0131,0.3339,0.3462,0.536,"('subject_10', 'subject_5', 'subject_6')"
Orthogonal Matching Pursuit,3.5814,17.4287,4.1687,-0.0165,0.3346,0.3468,0.516,"('subject_10', 'subject_5', 'subject_6')"
Dummy Regressor,3.5827,17.4329,4.1694,-0.0167,0.3342,0.3461,0.464,"('subject_10', 'subject_5', 'subject_6')"
Huber Regressor,3.5833,17.5405,4.1826,-0.0246,0.336,0.3487,0.446,"('subject_10', 'subject_5', 'subject_6')"
K Neighbors Regressor,3.687,19.2493,4.3801,-0.1246,0.3459,0.3539,0.464,"('subject_10', 'subject_5', 'subject_6')"
Decision Tree Regressor,4.2393,28.6446,5.348,-0.6943,0.4122,0.3675,0.468,"('subject_10', 'subject_5', 'subject_6')"
Passive Aggressive Regressor,4.3936,29.3596,5.3478,-0.731,0.4216,0.4458,0.452,"('subject_10', 'subject_5', 'subject_6')"
Gradient Boosting Regressor,3.4303,15.935,3.9888,0.0738,0.3102,0.3146,0.561,"('subject_10', 'subject_5', 'subject_7')"
Random Forest Regressor,3.4913,16.6788,4.0783,0.0307,0.3141,0.3162,0.585,"('subject_10', 'subject_5', 'subject_7')"
AdaBoost Regressor,3.5185,16.4373,4.0519,0.0447,0.3182,0.3263,0.512,"('subject_10', 'subject_5', 'subject_7')"
Light Gradient Boosting Machine,3.5276,17.7486,4.2085,-0.0332,0.3218,0.3162,0.468,"('subject_10', 'subject_5', 'subject_7')"
Extra Trees Regressor,3.5429,17.3105,4.156,-0.0041,0.3197,0.3211,0.503,"('subject_10', 'subject_5', 'subject_7')"
Linear Regression,3.5622,17.0896,4.1291,0.0094,0.3266,0.3367,0.47,"('subject_10', 'subject_5', 'subject_7')"
Ridge Regression,3.5626,17.0849,4.1286,0.0097,0.3267,0.3369,0.478,"('subject_10', 'subject_5', 'subject_7')"
Bayesian Ridge,3.5925,17.3994,4.1665,-0.0081,0.3309,0.3419,0.456,"('subject_10', 'subject_5', 'subject_7')"
Lasso Least Angle Regression,3.5929,17.4122,4.1678,-0.0086,0.331,0.3419,0.469,"('subject_10', 'subject_5', 'subject_7')"
Lasso Regression,3.5929,17.4122,4.1678,-0.0086,0.331,0.3419,0.467,"('subject_10', 'subject_5', 'subject_7')"
Elastic Net,3.5945,17.4008,4.1662,-0.0078,0.3309,0.3421,0.46,"('subject_10', 'subject_5', 'subject_7')"
Orthogonal Matching Pursuit,3.5965,17.4826,4.1759,-0.0125,0.3316,0.3425,0.474,"('subject_10', 'subject_5', 'subject_7')"
Dummy Regressor,3.5976,17.4461,4.172,-0.0107,0.3311,0.342,0.438,"('subject_10', 'subject_5', 'subject_7')"
Huber Regressor,3.6023,17.5795,4.1882,-0.0193,0.3335,0.3468,0.464,"('subject_10', 'subject_5', 'subject_7')"
K Neighbors Regressor,3.7227,19.6001,4.4228,-0.1375,0.3468,0.3546,0.478,"('subject_10', 'subject_5', 'subject_7')"
Decision Tree Regressor,4.321,29.395,5.4131,-0.7139,0.4137,0.3773,0.464,"('subject_10', 'subject_5', 'subject_7')"
Passive Aggressive Regressor,5.5811,44.3765,6.5569,-1.5892,0.5388,0.4003,0.469,"('subject_10', 'subject_5', 'subject_7')"
Least Angle Regression,7.1382,241.8996,9.0423,-13.7195,0.4846,0.6454,0.467,"('subject_10', 'subject_5', 'subject_7')"
Random Forest Regressor,3.3455,15.5584,3.9429,0.0771,0.3062,0.3058,0.585,"('subject_10', 'subject_5', 'subject_8')"
Extra Trees Regressor,3.3858,16.023,4.0011,0.0481,0.3101,0.3095,0.624,"('subject_10', 'subject_5', 'subject_8')"
Gradient Boosting Regressor,3.4031,15.7913,3.9721,0.0638,0.3097,0.3133,0.504,"('subject_10', 'subject_5', 'subject_8')"
